tree.0001.01,tree.0001.02,tree.0001.03,tree.0001.04,tree.0001.05,tree.0001.06,tree.0001.07,tree.0001.08,tree.0001.09,tree.0001.10,tree.0002.01,tree.0002.02,tree.0002.03,tree.0002.04,tree.0002.05,tree.0003.01,tree.0003.02,tree.0003.03,tree.0003.04,tree.0003.05,tree.0004.01,tree.0004.02,tree.0004.03,tree.0004.04,tree.0004.05,tree.0005.01,tree.0005.02,tree.0005.03,tree.0005.04,tree.0005.05,tree.0006.01,tree.0006.02,tree.0006.03,tree.0006.04,tree.0006.05,tree.0007.01,tree.0007.02,tree.0007.03,tree.0007.04,tree.0007.05,tree.0008.01,tree.0008.02,tree.0008.03,tree.0008.04,tree.0008.05,tree.0009.01,tree.0009.02,tree.0009.03,tree.0009.04,tree.0009.05,tree.0010.01,tree.0010.02,tree.0010.03,tree.0010.04,tree.0010.05,tree.0011.01,tree.0011.02,tree.0011.03,tree.0011.04,tree.0011.05,tree.0012.01,tree.0012.02,tree.0012.03,tree.0012.04,tree.0012.05,tree.0013.01,tree.0013.02,tree.0013.03,tree.0013.04,tree.0013.05,tree.0014.01,tree.0014.02,tree.0014.03,tree.0014.04,tree.0014.05,tree.0015.01,tree.0015.02,tree.0015.03,tree.0015.04,tree.0015.05,tree.0016.01,tree.0016.02,tree.0016.03,tree.0016.04,tree.0016.05,tree.0017.01,tree.0017.02,tree.0017.03,tree.0017.04,tree.0017.05,tree.0018.01,tree.0018.02,tree.0018.03,tree.0018.04,tree.0018.05,tree.0019.01,tree.0019.02,tree.0019.03,tree.0019.04,tree.0019.05
0,0,0,0,0,0,0,0,0,0,2591.56131687,1990.59930542,2378.23181371,2099.60886578,2318.47721432,1565.46045649,1736.39060343,1534.56162218,1427.78876955,1686.43533357,1658.45016042,1583.48542377,1865.18946541,1808.3432698,1501.04357447,167.048766457,156.069068009,132.675723812,169.497229625,165.148289562,1156.50561924,945.64502912,1108.60478365,1044.3645796,1182.91855655,1007.7543431,1136.61249048,1170.74986926,1182.43260294,1007.41560256,2924.60348766,3049.57965943,3153.80298595,3023.07447807,3215.67667819,2264.19777099,2097.44925421,2309.9986303,2228.089913,2479.55300303,1959.6882106,1877.30565073,1914.82659778,1803.25078277,1808.01509896,105.449209322,74.7359476891,113.525099868,117.422379195,129.383123859,862.090624659,967.080361566,704.133080158,981.194957878,910.655729788,770.255253521,786.527932093,965.087010547,654.790280298,831.259542917,1106.42970601,1269.32570971,1111.95973669,1265.55620483,1337.97337828,1044.04222479,1060.3041055,1159.87672972,823.821299206,1003.20877014,1319.35206332,976.726222832,1163.25538342,1091.16240198,1047.44439899,590.590150322,659.384106238,610.237855568,733.460674641,737.623096195,876.730641253,838.858968726,859.945506144,870.437403689,852.829589461,744.1389654,658.03468262,763.694964445,685.32312287,774.117927921
0,0,0,0,0,0,0,0,0,0,0,1751.57591297,1905.72512162,1711.73463764,1855.93051963,1308.53525867,1411.41935438,1258.88324012,1181.5584289,1371.31668321,1366.03252457,1291.8600341,1520.26988149,1478.54394298,1239.84083933,139.811309512,136.874395947,121.315689528,141.101285713,135.423031937,977.505377898,789.741989815,922.081206517,864.407521266,970.715497241,821.210481321,931.170886807,966.953049766,980.943633578,826.618234237,2340.53632912,2430.75152162,2525.4264182,2393.29359546,2603.68478025,1812.71133003,1722.34296431,1836.55296033,1802.4007884,2019.06040872,1588.96897739,1512.07313469,1562.67587776,1471.02121766,1471.30508245,89.7715179573,71.0794494892,95.9697983844,103.011070737,109.446928772,712.814385787,797.748746981,603.102085235,803.458031686,752.70573183,637.039918718,663.647091611,814.062078195,560.861013804,713.393294538,924.86006911,1044.70333072,921.196837365,1042.32620651,1108.33338106,870.427702436,874.20262733,947.565214716,690.831064114,825.974419036,1096.81679907,828.412314092,964.302645655,926.800514874,877.466395208,414.269758199,461.456535449,434.319982894,511.546659336,518.308623398,738.721325953,693.03603771,708.817333314,730.806411391,709.489840026,628.508912391,542.585818792,640.782589408,574.247424919,660.510034123
0,0,0,0,0,0,0,0,0,0,0,0,2407.97234984,2028.01599,2229.57791358,1492.19663657,1673.32999338,1446.14197557,1344.63680521,1573.92865664,1586.01322609,1486.56118225,1778.85962295,1664.57825085,1406.2653327,164.855760609,149.69493622,124.930948781,161.80773777,158.703064521,1077.3457662,881.348809423,1037.69566571,979.59382779,1114.63503135,932.176239238,1074.20352647,1110.7083448,1111.01466546,944.131819303,2902.66744997,3018.08538112,3146.22969,2997.49206331,3208.75715483,2178.44865516,2009.55846233,2204.56429854,2117.90428527,2405.88125426,1888.96915934,1797.14831954,1834.87001424,1715.11232418,1721.5438376,101.131936397,72.3677866283,109.838889358,114.476772411,136.024688917,796.191475042,899.59619376,655.001049908,903.165498127,839.798082318,726.892548918,744.619126762,884.772338864,621.683651493,773.161053441,1034.40132739,1184.93664217,1054.59934281,1198.17886509,1242.31640512,969.663922838,992.853127099,1098.69621306,774.088574176,944.62581354,1227.32335891,922.909197735,1070.31856783,1025.64763828,968.297262841,593.940854741,655.019845467,616.558674774,733.43438373,731.915627861,812.600167406,760.216066372,811.990237222,801.544908729,789.439452634,688.49947899,613.425171223,694.38269171,638.17940358,721.331890483
0,0,0,0,0,0,0,0,0,0,0,0,0,1937.05476886,1976.19663636,1360.02443324,1522.25906838,1325.54870642,1241.07050019,1455.60214368,1433.40935216,1359.43829241,1628.88100134,1534.71521746,1294.25456439,142.091807711,137.437101354,115.443649062,150.698100542,139.176784459,1052.32956198,836.086686194,985.840944932,916.0652673,1048.20290633,866.269977402,970.866850167,1030.47364912,1014.79614997,863.601649019,2409.20720497,2511.78635796,2571.15871305,2469.24907108,2658.17439736,1891.77886717,1812.25228873,1928.30511496,1889.01819468,2134.00978599,1698.7080703,1596.86792885,1659.3593568,1556.87562987,1553.21180578,96.0687338304,69.5439004153,96.6354000805,108.087309189,121.083511974,764.018223741,827.880505046,637.238550638,843.303806787,781.293270929,693.224449128,709.270444703,838.714454788,584.944683228,752.707548707,1001.11894133,1101.81519991,972.892988299,1112.46056505,1171.74921724,920.398413262,923.801910398,1030.46362454,740.088172889,892.549321116,1158.33824689,878.830507174,1026.50758725,951.857330939,914.066376775,431.296432448,484.538199437,451.807196542,540.555970212,541.634203781,771.93556417,718.637566805,738.202268354,761.445242816,739.075024977,648.014420464,562.412297953,666.832779088,602.117638234,692.400996663
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2253.77477902,1477.67710888,1632.85521666,1427.73514608,1335.35571426,1564.02712316,1551.4022063,1481.10651227,1763.09172238,1646.14099146,1390.62119979,151.876180403,144.401278169,122.24872662,156.811585312,150.248427939,1078.06032858,892.860205723,1032.05890126,962.566382176,1114.68990955,929.851122008,1045.94932169,1083.63832143,1074.85572982,931.891468956,2730.63777595,2855.57957402,2951.49246624,2825.249141,3013.91133341,2123.68248678,1958.47627722,2142.40782388,2066.2345197,2327.15838187,1846.39856222,1743.86812274,1786.47062809,1693.61332965,1684.85480043,93.6206575984,63.7617677557,101.304850867,110.35939612,121.151762867,808.612748575,881.698081417,651.386624645,898.300641275,834.072395653,726.274955487,738.771396161,889.834006539,610.386728809,771.636478319,1042.89550869,1180.27328237,1033.23402544,1199.62755234,1237.97918451,971.458443654,998.273001014,1097.43169547,785.020403718,940.605158438,1228.62907656,920.365561229,1070.79323205,1016.62400994,963.163474405,532.585378347,592.241369279,553.699834805,662.958633587,666.232865189,810.24195499,763.74071789,805.934696647,807.882184097,802.458482884,688.615195126,619.040041341,697.026319956,623.690016502,727.221222036
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230.05316971,1175.50729831,1079.9705565,1024.9005309,1163.82935253,1132.01780454,1066.62342054,1266.20992996,1238.53493887,1036.67952082,128.636277975,123.753656614,116.503200623,126.604296531,126.658370925,845.298895229,728.559317191,803.36460724,769.052826959,851.931098608,730.454723549,795.990627616,817.932035401,826.801759133,719.176266033,1728.16540155,1801.29239381,1865.70093354,1773.45334659,1912.88573364,1441.76382011,1357.03126235,1449.0977748,1438.30816188,1592.76989019,1280.09932652,1234.79696482,1263.82971278,1207.61460264,1190.02296133,84.0671171463,66.9305813806,81.3305047633,101.18386369,101.877873471,672.889605307,718.570580237,565.379341213,727.583295402,667.441148755,589.662078585,616.847166475,739.260285633,497.240094837,616.555137461,835.6818027,918.851533643,799.932922898,932.791677683,984.893134755,787.862049602,771.015403283,853.010192179,626.362083538,723.325306299,948.85239441,732.850322858,879.599739284,827.305154409,790.019820349,299.805512898,339.757676281,325.174058075,373.871809282,381.316992554,695.113457458,643.198392332,669.385139891,667.958604035,657.850962178,584.134628662,524.423707869,601.872205193,526.752244284,615.279349171
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399.15224281,1122.178438,1062.56791283,1238.12955955,1210.60216613,1153.05078709,1380.13772195,1299.38168517,1106.39831921,131.049670174,120.949176994,111.944383148,134.147410356,130.578546979,888.357152098,734.252412873,840.270306729,805.360373602,908.432716372,756.705317257,837.167022881,873.690820674,873.170633532,749.858961076,1964.12831843,2058.02477853,2129.53886816,2026.23465256,2168.15337229,1577.07129557,1513.94068325,1601.08979655,1563.99771193,1769.22639766,1416.51678943,1340.79337858,1378.78970972,1292.20210318,1296.81093491,92.5521997435,69.0395722715,89.1298254057,103.580562596,110.383507496,698.245139396,748.102860122,580.806262228,754.166438139,702.24696498,632.943059209,627.289293359,751.04658541,524.270985089,652.658144413,883.7552076,969.537541604,855.812011416,970.728523277,1028.74950357,813.975061724,797.927203955,890.20250031,652.98357419,776.217315592,1006.81013666,755.872053012,913.611997871,838.116292168,817.186781278,322.889576872,362.682891126,340.972484495,399.562607694,409.104252257,703.824909395,655.551993281,668.476331563,682.669359698,680.407401111,584.299286095,510.087676779,606.997695642,548.354916848,624.262377804
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171.27869693,996.957285662,1148.12282266,1096.80795923,1054.44244061,1217.79706346,1233.32765448,1025.05209137,128.419869055,129.64090836,114.0372862,124.509441246,123.785112861,859.695483548,719.00579621,821.161460102,754.196956875,840.389814702,731.883477482,782.918378291,824.260711902,807.125272252,698.201117523,1670.01384003,1736.98966578,1766.31770596,1678.25867908,1824.23658948,1384.68276346,1310.19362428,1409.53224815,1401.28019146,1528.64130455,1239.42398458,1183.92525282,1241.69701401,1198.18374334,1164.36669306,87.8189272899,69.7944364935,85.3410184597,95.6151561441,101.565364742,657.655822893,711.024435892,557.560467325,712.441954333,664.214737609,572.231557056,604.862847402,728.361369823,500.389087376,624.244313098,824.011802056,902.880775015,774.476875079,910.878385359,950.995272939,785.023736915,767.687259321,833.089135357,624.297421894,722.091594834,938.342138268,718.024079562,867.869170865,814.021400573,779.686650316,337.741347522,376.616817576,358.48119648,421.819963443,421.308305234,682.308410525,653.538668247,635.298335464,665.343775734,648.810390955,584.024625797,519.422666397,604.62300767,525.646408518,596.20608065
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048.18193082,1081.39018057,1032.09362497,988.307457227,1164.71535937,1147.17283819,966.537212357,123.908006545,125.19742779,113.535892847,123.172832848,122.294383929,806.690701803,693.201518329,769.7835436,725.42481767,791.094353013,694.054130829,744.449490657,759.037860156,767.605690419,667.279130387,1540.56314697,1594.90891512,1634.15478115,1558.0506636,1680.16955924,1296.78280776,1243.60232418,1313.49308133,1308.841896,1429.41183579,1162.36765741,1122.75134623,1154.78196055,1119.38053251,1083.57266488,86.1694935385,67.7988890128,79.3530829938,93.5150868727,103.22022711,631.302540873,672.99828558,536.6474673,692.374351267,637.001370955,558.815884388,581.476469337,699.00072463,482.860138085,594.29060822,780.077313503,863.068924027,748.593503829,862.573590054,909.460245718,756.186556439,723.354584918,788.563823166,605.921016799,685.442104923,896.810832857,692.285393344,819.200579017,762.031478933,744.168086824,285.157581006,320.962147699,303.102833224,351.586315879,360.885481839,653.473623938,622.803645277,623.680205839,626.456815032,623.263952929,557.143539966,500.040025581,573.964066494,504.632434028,587.055465617
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362.11608308,1193.35869074,1154.2624759,1358.61870347,1342.65077156,1111.16472592,134.86975221,135.594496813,117.324255498,132.432500499,129.565571956,934.638257268,780.91678948,879.155031825,822.248894836,911.183734905,781.010513623,844.865826666,889.743143958,874.787424275,763.763543139,1779.80861405,1857.40595712,1889.87534045,1813.53410027,1940.27416761,1494.97606654,1463.76156378,1531.98347466,1537.04731537,1671.26910397,1372.7323216,1286.15951636,1343.98564218,1280.39738228,1268.01019411,98.8397077517,71.0288061676,87.3379758053,107.598599007,110.340708904,721.231224798,758.193932215,606.133063352,787.958277765,732.381843781,633.2988515,645.712849659,792.419319941,536.381852506,669.599789144,900.871007911,994.550995887,854.127459332,990.236663007,1062.75617424,855.575495967,829.1135032,901.683891995,683.879065819,789.433459013,1031.31249324,794.061396932,940.170753672,863.097337604,845.384882927,308.688671444,349.159176461,330.542610878,386.142208311,394.922305382,729.671470765,703.568767059,686.141723539,716.854194427,713.182448277,631.928745727,554.814526485,648.219326278,573.988343948,654.071515417
