tree.0001.01,tree.0001.02,tree.0001.03,tree.0001.04,tree.0001.05,tree.0002.01,tree.0002.02,tree.0002.03,tree.0002.04,tree.0002.05,tree.0003.01,tree.0003.02,tree.0003.03,tree.0003.04,tree.0003.05,tree.0004.01,tree.0004.02,tree.0004.03,tree.0004.04,tree.0004.05,tree.0005.01,tree.0005.02,tree.0005.03,tree.0005.04,tree.0005.05,tree.0006.01,tree.0006.02,tree.0006.03,tree.0006.04,tree.0006.05,tree.0007.01,tree.0007.02,tree.0007.03,tree.0007.04,tree.0007.05,tree.0008.01,tree.0008.02,tree.0008.03,tree.0008.04,tree.0008.05,tree.0009.01,tree.0009.02,tree.0009.03,tree.0009.04,tree.0009.05,tree.0010.01,tree.0010.02,tree.0010.03,tree.0010.04,tree.0010.05,tree.0011.01,tree.0011.02,tree.0011.03,tree.0011.04,tree.0011.05,tree.0012.01,tree.0012.02,tree.0012.03,tree.0012.04,tree.0012.05,tree.0013.01,tree.0013.02,tree.0013.03,tree.0013.04,tree.0013.05,tree.0014.01,tree.0014.02,tree.0014.03,tree.0014.04,tree.0014.05,tree.0015.01,tree.0015.02,tree.0015.03,tree.0015.04,tree.0015.05,tree.0016.01,tree.0016.02,tree.0016.03,tree.0016.04,tree.0016.05,tree.0017.01,tree.0017.02,tree.0017.03,tree.0017.04,tree.0017.05,tree.0018.01,tree.0018.02,tree.0018.03,tree.0018.04,tree.0018.05,tree.0019.01,tree.0019.02,tree.0019.03,tree.0019.04,tree.0019.05
0,0,0,0,0,0,0,0,0,0,1201.98433023,1140.12022657,1048.26038925,995.425081444,1131.87924037,1100.82852528,1033.35332563,1233.93688748,1203.17057667,1010.60031373,116.112960384,111.506216063,105.674275243,112.416964283,113.05809848,816.079679526,705.155678311,776.202730507,745.455533734,824.038808063,688.018755943,754.713791297,779.749005827,782.155522762,676.518142329,1690.33487612,1764.7613513,1827.65648534,1740.30168874,1873.744895,1408.07075393,1326.38073739,1417.01263987,1406.67745443,1553.38542157,1246.93015554,1201.60006188,1231.7889246,1178.09945109,1158.38485967,72.7272149105,54.3785186491,69.6011910337,88.9242785248,87.5903033841,649.602798375,687.061527343,539.836430569,704.713641826,640.716182303,565.158725042,587.887994614,713.486128151,474.200997668,593.142698786,810.467157406,889.43940159,774.339696849,902.709641954,953.363776007,757.920859137,743.868706973,821.282165262,600.561155184,699.334099568,922.032863122,707.785986918,853.250193545,797.574157429,760.556479267,286.316674632,323.476528758,303.545544272,358.050242328,365.190833298,666.143432321,614.672764801,643.314740543,644.613023144,633.680883247,564.595383512,504.237871385,575.626202624,500.813202956,593.689243899
0,0,0,0,0,0,0,0,0,0,0,1360.35222124,1084.88797941,1028.45630536,1200.11148961,1174.51893791,1113.64483206,1339.34256236,1255.32682052,1073.2797129,115.840195409,107.634952588,98.0743895801,117.845932917,113.198970104,858.32027944,708.615840851,810.305526129,777.189291504,879.057160364,707.496455486,789.409137737,828.027172273,817.198298227,704.063275306,1910.04520684,2006.75395884,2077.14364148,1978.68422644,2113.23187284,1537.16652781,1474.98033323,1557.58586637,1520.95991322,1719.23050209,1377.70281513,1301.08542428,1340.61093788,1251.66371185,1258.22803537,77.2225223998,55.6514412229,74.6223030541,87.3732412897,94.3909827974,673.593539041,715.42977566,552.819539045,726.315461607,670.100533788,604.89189874,598.948055994,720.938972108,500.09366096,626.172050672,854.83723548,934.029293099,827.522022505,936.226920758,993.896888832,779.882515035,767.466164802,854.359894773,623.304800531,748.354821542,976.675956468,727.801055609,883.067423133,805.494645986,783.689464251,308.798594601,350.230354968,321.950307373,384.917851325,395.1158636,672.642328893,624.570328179,643.931234216,652.744024123,653.781273581,561.662962003,488.296594452,577.783116473,521.782708525,600.180879928
0,0,0,0,0,0,0,0,0,0,0,0,1137.0770989,965.74252486,1113.42040904,1063.00827556,1021.69035381,1180.14033828,1194.55582036,999.364815338,117.201888327,116.82715309,101.824633477,110.964420046,110.201150327,829.720538532,695.05369897,792.736731468,729.561879645,812.047915541,688.410055116,740.679005022,783.939489176,760.036671535,657.047114468,1625.42423342,1693.21745644,1724.08502272,1638.65081639,1775.19839322,1349.08259435,1277.27661727,1372.93011,1363.18374182,1487.04402397,1204.62879371,1149.16430425,1207.23346072,1162.08765736,1132.37212192,75.2412702832,58.1841445832,71.5563197142,82.3704190712,87.1418092779,633.993583924,679.656688986,532.627661906,688.609599051,636.895628776,543.292295269,574.449407266,702.915620877,478.390104062,598.846521297,796.940348626,869.705979135,748.862825812,880.154539958,919.644406914,751.710791706,739.608255624,800.24736399,596.515404443,699.190885044,908.994170232,694.057982675,841.70402704,784.897831809,751.724212333,324.097817771,365.02778694,341.767225664,408.212785956,407.492142445,654.047809754,624.533311832,609.655912541,640.1164655,624.516470128,563.938539723,500.857328662,580.494457978,501.162495824,573.310821684
0,0,0,0,0,0,0,0,0,0,0,0,0,1019.41763904,1048.95514471,1002.01160193,960.32124161,1132.11480786,1112.80188959,939.58584711,110.471313733,111.607894814,100.701202452,107.204929058,107.849099408,779.114675244,668.424183628,738.781338232,701.23609374,762.371450085,649.918478723,701.910228963,723.011381599,720.669217591,626.603801638,1505.78146589,1563.00757086,1603.18488723,1529.23427142,1644.83793439,1265.85523279,1213.80369122,1281.90557216,1275.80950866,1393.05788605,1129.8314276,1090.80734923,1124.39536283,1089.15853597,1054.2392909,71.7613677346,55.1261296057,66.5196893021,81.0796160184,87.9328024551,610.329395901,640.487147793,512.16685565,667.051971446,610.203397019,533.356235664,554.46889108,672.577791948,461.386558673,568.70983651,754.176439099,830.15140639,722.977562163,833.081374318,876.369461363,725.820562591,695.69386837,756.12137996,577.564537365,661.349594809,868.148245764,666.214033738,791.557690061,733.706108921,713.265636237,273.704091537,309.642803967,288.79213184,340.649288215,350.024437438,624.090776731,595.099456042,598.713095684,603.483521948,601.07062521,535.09497043,480.242507565,547.941417586,479.618625965,565.278335505
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1329.13844698,1157.73856172,1118.96083351,1320.5445836,1300.47899445,1080.65325543,120.809668276,121.213337086,104.154013624,116.242381832,114.212264277,903.124442286,756.668051366,848.953531131,795.862804402,881.283890058,734.259402166,801.149623704,846.73573494,824.64678002,721.280977544,1734.50296327,1810.81206267,1843.75506643,1770.66736436,1892.12370157,1460.44817979,1429.3872715,1492.65629378,1497.36031482,1627.44738443,1336.9892854,1249.48858293,1308.74834214,1245.87639587,1232.67550492,84.8469178288,59.6372696124,72.0008446084,93.6105399304,96.9342157501,695.645716687,727.496235761,581.24659873,761.421439071,702.874812572,605.610607582,616.372373864,766.715417176,512.516116707,644.884250639,873.738123333,961.842039321,827.24313595,958.984704186,1029.51710245,820.905267212,797.920523472,868.623963758,654.065130059,764.992466274,1000.89817478,767.080005666,909.64696442,832.853993117,816.393782965,296.111708231,338.158172148,314.506727378,374.102477526,382.537259776,700.795109849,674.244656978,660.59615692,688.279464276,686.198940229,607.997754484,534.053442619,623.085799722,546.635431683,630.331883284
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228.87789761,1064.97230147,1262.16236806,1227.23646202,1035.15414211,116.382858848,113.463449045,98.2652423197,114.63778275,111.207616605,834.219996885,697.163395374,794.553050387,753.109264717,846.669632017,684.758275659,773.753149845,796.33295532,786.997264525,672.841185299,1820.19207906,1906.08489581,1966.05632458,1881.96258924,2014.99588472,1471.97745921,1387.57465676,1492.79343483,1469.75032482,1626.48665722,1315.89271831,1242.00709901,1281.88807126,1212.66659131,1210.75958318,76.1826634121,51.3133985527,75.0122834359,83.0757639477,88.3523198317,635.154442188,688.470522676,530.070829243,707.011262685,640.076195434,565.533824116,580.967033904,703.520113457,481.225047312,598.99460585,809.367733854,896.865701274,788.7774333,907.029829241,946.564932696,754.059200412,745.540294713,821.874377669,600.232909388,718.084469939,937.352372962,714.458670994,843.679088219,788.692894949,757.22349827,333.5362701,378.425506433,344.71811592,409.880762605,420.706028776,644.698828691,612.899268521,632.502404492,640.336001674,626.632347423,560.928629265,484.738856554,565.190629819,503.40489629,589.332588103
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149.40082902,1228.11674077,1187.06742946,995.203069401,109.589601832,112.818833355,97.9249955085,111.242152909,113.239423048,801.355193805,676.702864736,765.527062727,722.523586096,792.46732942,662.110711069,722.118347599,768.33665081,755.077584868,664.725049965,1688.26160514,1765.95942603,1822.01455311,1730.88676413,1834.19580094,1401.32736642,1340.05882534,1411.69426352,1389.68512372,1533.34607228,1238.03245442,1173.02624108,1212.36861563,1171.54307091,1146.22277918,76.5194778179,53.0739087502,68.7421074852,83.7770414706,88.4391464696,619.982066043,642.376016544,519.408179025,674.027622492,622.854706741,537.402691563,547.994886651,686.608091057,468.308179891,573.049875929,791.760908006,866.898902877,754.568273086,862.817323969,912.032952232,736.790367543,730.018718535,772.782742703,597.251169163,693.376609297,896.491290878,681.900811178,799.942130145,749.431204889,729.112927836,306.362048224,346.288360923,320.602572458,383.067853466,387.554463328,612.339696907,594.282017534,596.040546375,609.074267449,617.590827661,525.226805161,484.008038953,554.352766835,484.584241404,552.307269707
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572.58585555,1386.26242609,1161.22294845,116.29747222,121.958990458,105.982261931,122.41729138,119.773405366,943.685097047,786.619038698,874.935745534,840.191598431,933.659988013,775.7393239,852.167414177,910.954426906,886.416308419,780.623207851,1998.05147927,2091.10810161,2148.84102556,2061.78769578,2191.39724246,1653.40015305,1603.79831031,1675.71840084,1653.41701353,1834.94560723,1474.95713826,1395.26049897,1442.12267727,1372.15462749,1351.86397552,84.6920798442,52.8671172418,77.086200536,95.7824971966,104.557637826,721.15128326,750.502652798,594.547067557,791.074840956,717.063170349,640.493026996,644.946632132,788.271520585,535.780537369,668.622041238,925.094265234,1022.75903684,894.014307807,1018.98785133,1083.44968004,864.874306987,852.837179963,919.969753667,704.688965146,809.188886162,1052.57572979,805.270022289,938.674474662,862.725449005,838.378967803,314.46957272,358.205322842,329.812912637,393.338810649,400.846734463,722.336599562,675.610134144,700.280942639,704.403842044,717.020046494,607.126721055,551.448449841,624.351528706,553.014321092,652.230277444
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511.92067258,1149.80590745,124.733348494,127.073867053,109.132094869,121.553530123,117.140637543,948.317441239,791.61167681,894.963575259,836.541928535,928.12247452,785.50836271,850.575830121,897.171783258,892.081145043,761.624239169,1865.45671426,1944.51665121,1978.31940441,1883.92733337,2032.77969565,1571.42760968,1509.31114903,1599.20238424,1592.38066846,1722.97217103,1401.49974031,1343.46050832,1390.97883101,1335.96679949,1303.48708409,86.9827453995,62.3863759575,80.2799809599,93.6042301638,96.799703415,722.236359723,776.766826547,600.396543828,799.850470263,730.323212033,618.192684167,643.297129249,814.506685239,546.01521887,678.569961072,901.23109026,1007.66486089,867.660349843,1001.03687962,1079.84305204,861.631147219,846.74120847,898.652222588,668.001078214,796.187816617,1051.20438494,796.355488075,957.169703288,894.905467272,864.853831738,344.614225453,390.044198467,362.533603542,436.662563846,444.367452319,745.119491241,704.181769314,690.22826959,727.88715102,715.257545538,641.620773239,556.723842325,651.694169325,568.926949257,658.701508697
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074.27135108,114.092269127,109.88985226,102.780919813,109.589845782,106.544146805,795.332974579,667.88530325,756.266408027,713.706279052,784.871263878,657.466531905,714.816550958,748.033655538,735.616694454,635.289688156,1600.20646998,1666.08795708,1708.40793789,1636.38438242,1750.88877401,1323.44697023,1276.81633043,1352.22905426,1334.11542514,1456.58146546,1189.11368503,1133.715651,1170.70339714,1126.11123164,1104.22676784,71.3299955702,53.5587476054,68.3183407808,83.4307177133,84.7868345254,620.380110123,660.045532415,515.928982284,680.997135063,627.849030565,542.736638001,554.158417731,681.278233601,469.010531862,582.823967643,772.043628185,851.594728006,743.705420564,846.385599807,898.845064932,733.981127395,705.030165058,776.347598021,579.374413404,675.209473125,889.634982731,675.712069747,806.745835714,752.139733678,734.45787364,294.239040531,328.966603327,307.731576393,364.328362578,370.82994779,626.144956331,602.294986021,587.831195769,610.584427481,614.513589319,535.994645603,478.276289028,555.993543935,487.615844214,566.083577521
